Location,Hospital,Address,State,District,Pincode
"Shri Ram Plaza, Huda Complex",Shree Sai Saans Critical Care Centre,"Shri Ram Plaza , Huda Complex",Haryana,Rohtak,124001
"255,Delhi Road,Model Town,Near Jeewan Eye Hospital",Shri Ram Physiotherapy Centre,"255,Delhi Road,Model Town,Near Jeewan Eye Hospital",Haryana,Rohtak,124001
"443/30, Dev Colony,Opposite C.R. Poltecnik,Delhi Road",Siwach Hospital / Siwach Saatwik Clinic,"443/30, Dev Colony,Opposite C.R. Poltecnik,Delhi Road",Haryana,Rohtak,124001
"Natraj Hotel Street,Near Liberty Cinema",Sonia Dental and Child Hospital,"Natraj Hotel Street,Near Liberty Cinema",Haryana,Rohtak,124001
Vijay Nagar,Sukhda Hopital,Vijay Nagar,Haryana,Rohtak,124001
"Delhi Road,OppositeC.R. Poly Technic",Sun Flag Super Speciality Hospital and Trauma Centre,"Delhi Road,OppositeC.R. Poly Technic",Haryana,Rohtak,124001
"37, Huda Complex Near Surya Hotel",Verma Nursing Home,"37, Huda Complex Near Surya Hotel",Haryana,Rohtak,124001
"318/25,Medical More,OppositeChand Health Club",Life Care Hospital,"318/25,Medical More,OppositeChand Health Club",Haryana,Rohtak,124021
Asthal Bohar,Sh. Baba Mast Nath Charitable Hospital,Asthal Bohar,Haryana,Rohtak,124021
Near Bhiwani Stand Meham,Anirudh Hospital,Near Bhiwani Stand Meham,Haryana,Rohtak,124112
"Main Bazar, Meham",Jiwan Clinic and Nursing Home,"Main Bazar, Meham",Haryana,Rohtak,124112
"Road, Kalanaur",Pawan Children S Hospital,"Road, Kalanaur",Haryana,Rohtak,124113
"Delhi Road, 101, Opposite Liberty Theatre, Subhash Naga",Dr.Gogias Super Speciality Dental Care Centre,"Delhi Road, 101, Opposite Liberty Theatre, Subhash Naga",Haryana,Rohtak,124001
"Makroli House, Sonipat Road","Eye-Q Super Speciality Eye Hospitals, Rohtak","Makroli House, Sonipat Road",Haryana,Rohtak,124001
"Near Mohan Petrol Pump, Sukhpura Chowk to Ghana, Panipat Road",City Super Speciality Hospital,"Near Mohan Petrol Pump, Sukhpura Chowk to Ghana, Panipat Road",Haryana,Rohtak,124001
"926, Vijay Park (Jhang Colony)",Ishwar Eye Centre\n,"926, Vijay Park (Jhang Colony)",Haryana,Rohtak,124001
"Near Gurudwara, Bhiwani Stand",Oxygen Hospital,"Near Gurudwara, Bhiwani Stand",Haryana,Rohtak,124001
Rohtak,Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences,Rohtak,Haryana,Rohtak,124001
"Jind Bypass Chowk, Jind Road, Jind Road",Shanti Maternity and Nursing Home\n,"Jind Bypass Chowk, Jind Road, Jind Road",Haryana,Rohtak,124001
"Opposite C.R.Poly, Delhi Road",Sunflag Hospital,"Opposite C.R.Poly, Delhi Road",Haryana,Rohtak,124001
"318/25, Medical More, OppositeChand Health Club","Life Care Hospital, Rohtak","318/25, Medical More, OppositeChand Health Club",Haryana,Rohtak,124021
Asthal Bohar,Shri Baba Mast Nath Charitable Hospital,Asthal Bohar,Haryana,Rohtak,124021
Brahmanwas-,Gaur Brahman Ayurvedic College,"Brahmanwas-,",Haryana,Rohtak,124001
"Bhagat Singh Market, Kalanwali",Jag Hospital,"Bhagat Singh Market, Kalanwali",Haryana,Sirsa,125055
Hisar Road,Talwar Nursing Home,Hisar Road,Haryana,Sirsa,125055
Near Railway Crossing & Bus Stand,Advanced Lasik Laswe Centre,Near Railway Crossing & Bus Stand,Haryana,Sirsa,125077
"Neaar Gar Ultrasound,Circular Road",Amit Wasil Eye Hospital,"Neaar Gar Ultrasound ,Circular Road",Haryana,Sirsa,125077
Circular Road,Apex Hospital and Research Center - Rsby,Circular Road,Haryana,Sirsa,125077
"Dabwali Road, Near Maruti Showroom",Astha Hospital,"Dabwali Road, Near Maruti Showroom",Haryana,Sirsa,125077
"Circular Road, Near Sangwan Chowk",Azad Surgical Hoispital,"Circular Road, Near Sangwan Chowk",Haryana,Sirsa,125077
Janta Bhawan Road,Baba Bihari Netralaya - Rsby,Janta Bhawan Road,Haryana,Sirsa,125077
Valmiki Chowk,Bansal Nursing Home - Rsby,Valmiki Chowk,Haryana,Sirsa,125077
"Begu Road,Near Aggarsein School",Bhagwati Hospital,"Begu Road,Near Aggarsein School",Haryana,Sirsa,125077
Shiv Chowk,Bikaner Nursing Home - Rsby,Shiv Chowk,Haryana,Sirsa,125077
Behind Gandhi Market,Bishnoi Nursing Home,Behind Gandhi Market,Haryana,Sirsa,125077
"Dabwali Road, Satyam Complex",Care Hospital,"Dabwali Road, Satyam Complex",Haryana,Sirsa,125077
"Opposite Aggrasain Park, Ambedkar Chowk",Chaudhary Ortho and General Hospital - Rsby,"Opposite Aggrasain Park, Ambedkar Chowk",Haryana,Sirsa,125077
Near Sangwan Circle,Dayal Hospital,Near Sangwan Circle,Haryana,Sirsa,125077
"Near Sangwan Chowk, Mal Godown Road",Dmc Hospital,"Near Sangwan Chowk , Mal Godown Road",Haryana,Sirsa,125077
"Sangwan Chowk, Dabwali Road",Dr Mohar Singh Surgical Hospital,"Sangwan Chowk, Dabwali Road",Haryana,Sirsa,125077
"Dabwali Road, Near Sangwan Chowk",Dr V P Goyal Holy Nursing Home - Rsby,"Dabwali Road, Near Sangwan Chowk",Haryana,Sirsa,125077
"Under Railway Over Bridge, Hisar Road",Dr. Praveen Eye Hospital and Research Centre,"Under Railway Over Bridge, Hisar Road",Haryana,Sirsa,125077
"Opposite  Club, Dabwali Raod",Ganga Multispeciality Hospital,"Opposite  Club, Dabwali Raod",Haryana,Sirsa,125077
Janta Hospital Road,Garg Children Hospital - Rsby,Janta Hospital Road,Haryana,Sirsa,125077
Near F Block,General Hospital,Near F Block,Haryana,Sirsa,125077
Near Sangwan Square,Jagdish Nursing Home And Heart Care Center,Near Sangwan Square,Haryana,Sirsa,125077
"Infront Of R.S.D. Scool,Dabwali Road",Jhunthra Hospital,"Infront Of R.S.D. Scool,Dabwali Road",Haryana,Sirsa,125077
Opposite Surkhab Tourism Hissar Road,Jyani Maternity and Children Hospital - Rsby,Opposite Surkhab Tourism Hisar Road,Haryana,Sirsa,125077
Dabwali Road,Khurane Child Health Care and Neonatology Center / Khurana Bal Avam Navjat Shishu Rog Upchar Kendra / Khurana Nursing Home,Dabwali Road,Haryana,Sirsa,125077
"R. S. D. Colony, Dabwali Road",Life Care Hospital - Rsby,"R. S. D. Colony, Dabwali Road",Haryana,Sirsa,125077
Lalbatti Chowk Opp Town Park,Mediciti Hospital,Lalbatti Chowk Opp Town Park,Haryana,Sirsa,125077
"Sagwan Chowk,Dabwali Road",Metro Hospital -Heart Care Centre and General Hospit,"Sagwan Chowk ,Dabwali Road",Haryana,Sirsa,125077
"Near Apex Hospital, Circular Road",Neeraj Orthopaedic And Dental Hospital,"Near Apex Hospital, Circular Road",Haryana,Sirsa,125077
"64/2, Dabwali Road",New City Hospital,"64/2, Dabwali Road",Haryana,Sirsa,125077
"Mal Godown Road, Near Sangwan Chowk",Patiyala Hospital / Patiala Nursing Home - Rsby,"Mal Godown Road, Near Sangwan Chowk",Haryana,Sirsa,125077
"Near Surkhab Chowk, Hisar Road",Poonia Hospital / Poonia Nursing Home and Heart Care Center - Rsby,"Near Surkhab Chowk, Hisar Road",Haryana,Sirsa,125077
"Hisar Road, Opposite Tula Ram Dharamshala",Raj Maternity and G.K. Nursing Home,"Hisar Road, Opposite Tula Ram Dharamshala",Haryana,Sirsa,125077
"Sagwan Chowk, Dabwali Road, N.H-10",Rajendra Children Hospital,"Sagwan Chowk, Dabwali Road, N.H-10",Haryana,Sirsa,125077
"Dabwali Road, Sangwan Chowk Opp Bansal Mariage Palace",Sama Nurshing Home,"Dabwali Road, Sangwan Chowk Opp Bansal Mariage Palace",Haryana,Sirsa,125077
"Under Railway Over Bridge,Hissar Road",Sanjivani Hospital (Multi and Super Speciality Hospital),"Under Railway Over Bridge,Hissar Road",Haryana,Sirsa,125077
"Dabwali Road,",Santosh Hospital and Maternity Home,"Dabwali Road,",Haryana,Sirsa,125077
Dabwali Road,Satyam Hospital,Dabwali Road,Haryana,Sirsa,125077
Near Shah Satnam Ji Dham,Shah Mastana Ji Allopathic Hospital / Shah Satnamji Speciality Hospital,Near Shah Satnam Ji Dham,Haryana,Sirsa,125077
"Behind Radha Swami Satsang Ghar, Hissar Road",Sidhu Nursing Home,"Behind Radha Swami Satsang Ghar, Hissar Road",Haryana,Sirsa,125077
"Opposite Town Park, Dabwali Road",Sigma Surgical and General Hospital - Rsby,"Opposite Town Park, Dabwali Road",Haryana,Sirsa,125077
"Circular Road, Near Sangwan Chowk",Sihag Children Hospital,"Circular Road, Near Sangwan Chowk",Haryana,Sirsa,125077
"Parshuram Chowk,Near Radha Swami Sant Sanghar,Hisar Road",Sindhu Nursing Home,"Parshuram Chowk,Near Radha Swami Sant Sanghar,Hisar Road",Haryana,Sirsa,125077
"Sangwan Chowk, Dabwali Road",Soni Orthopaedic Hospital,"Sangwan Chowk, Dabwali Road",Haryana,Sirsa,125077
Janta Hospital Road,Sri Shyam Hospital and Maternity Home,Janta Hospital Road,Haryana,Sirsa,125077
Dabwali Road Near Hero Honda Showroom,Surya Eye and General Hospital - Rsby,Dabwali Road Near Hero Honda Showroom,Haryana,Sirsa,125077
Hissar Road,Tomar Nursing Home / Tomer Nursing Home - Rsby,Hissar Road,Haryana,Sirsa,125077
Mandi Dabwali,Agnihotri Surgical and Maternity Hospital,Mandi Dabwali,Haryana,Sirsa,125104
"Chautala Road,Near Bishnoi DharmshalaMandi Dabwali",Bikaner Children Hospital,"Chautala Road ,Near Bishnoi Dharmshala ,Mandi Dabwali",Haryana,Sirsa,125104
Sama Nursing Home Dabwali Road,Sharma Nursing Home,Sama Nursing Home Dabwali Road,Haryana,Sirsa,125104
"Gole Bazar,Mandi Dabwali",Singla Maternity and Nursing Home,"Gole Bazar ,Mandi Dabwali",Haryana,Sirsa,125104
"Under Railway over bridge, Hissar Road",Sanjivani Hospital,"Under Railway over bridge, Hissar Road",Haryana,Sirsa,125055
Circular Road,Apex Hospital,Circular Road,Haryana,Sirsa,125055
Circular road near Balmiki Chowk,Bansal Hospital,Circular road near Balmiki Chowk,Haryana,Sirsa,125055
"Shiv Chowk, Circular Road",Neeraj Hospital,"Shiv Chowk, Circular Road",Haryana,Sirsa,125055
"Sangwan Chowk, N.H -10",Sangwan Nursing Home,"Sangwan Chowk, N.H -10",Haryana,Sirsa,125055
"Opposite Suraj Cinema, Dabwali Road\n",Navjeevan Children Hospital,"Opposite Suraj Cinema, Dabwali Road",Haryana,Sirsa,125055
"Panjuana-Kharia Road, Jodhpuria, Sirsa, Haryana, Phone-, Fax-\n",Ayujyoti Ayurvedic College and Hospital\n,"Panjuana-Kharia Road, Jodhpuria, Sirsa, Haryana, Phone-, Fax-\n",Haryana,Sirsa,125055
Sirsa,Mata Shanti Devi Institute of Nursing,,Haryana,Sirsa,125055
"4th Milestone, Hisar Road",Rajendra Institute,"4th Milestone, Hisar Road",Haryana,Sirsa,125055
Under Railway over bridge,Dr. Praveen Eye Hospital and Research Centre,Under Railway over bridge,Haryana,Sirsa,125005
"Surkhab Chowk.opp Tularam, Dharamshalla",Poonia Hospital,"Surkhab Chowk.opp Tularam, Dharamshalla",Haryana,Sirsa,125005
Valmiki Chowk,Bansal Nursing Home,Valmiki Chowk,Haryana,Sirsa,125005
"Color Road, Mandi Dabwali",Bagla Eye Hospital and Laser Centre,"Color Road, Mandi Dabwali",Haryana,Sirsa,125104
"Near Shah Satnam ji, Dham",Shah Satnam Ji Speciality Hospital,"Near Shah Satnam ji, Dham",Haryana,Sirsa,125055
"Near Shah Satnam ji, Dham, Sirsa",Poojaneeya Mata Aas kaur Ji Ayurvedic Hospital\n,"Near Shah Satnam ji, Dham",Haryana,Sirsa,125055
"Near Shah Satnam ji, Dham","Param Pita Ji Ke Sahibjade Aur Sahibjadean  Bhai Ranjeet Singh Ji, Bibi Jagjit Kaur, Behan Sehaj Naturopathy Hospital","Near Shah Satnam ji, Dham",Haryana,Sirsa,125055
"Opp Atlas Mandir,Atlas Road",Aarogyadham Charitable Eye Hospital (A Unit Of Aar,"Opp Atlas Mandir ,Atlas Road",Haryana,Sonipat,131001
"Railway Road, Near Truck Union, Ganaur",Aggarwal Hospital,"Railway Road, Near Truck Union, Ganaur",Haryana,Sonipat,131001
"Sikka Colony, Delhi Road, Opposite Huda Commercial Centre",Aneja Hospital and Bhogal Ortho Centre,"Sikka Colony, Delhi Road, Opposite Huda Commercial Centre",Haryana,Sonipat,131001
"Baroda Road, Near Csc Gohana",Arpit Hospital,"Baroda Road, Near Csc Gohana",Haryana,Sonipat,131001
Atlas Road,Arya Eye Hospital,Atlas Road,Haryana,Sonipat,131001
"Mittal Nursing Home, Model Town",Asharfi Devi Medical (P) Ltd,"Mittal Nursing Home, Model Town",Haryana,Sonipat,131001
"Near Lg Showroom, Vivekanand Chowk Delhi Road",Astha Hospital,"Near Lg Showroom , Vivekanand Chowk , Delhi Road",Haryana,Sonipat,131001
"226 - 227, Sector - 14",Bansal Nursing Home,"226 - 227, Sector - 14",Haryana,Sonipat,131001
"Old D. C. Road,Near Bus Stand",Batra Nursing Home and Heart Care Centre,"Old D. C. Road, ,Near Bus Stand",Haryana,Sonipat,131001
"Green Crescent, Opposite Sector - 14",Bharat Hospital - Sonepat,"Green Crescent, Opposite Sector - 14",Haryana,Sonipat,131001
"Sampla Road, Kharkodha",Bhardwaj Maternity Hospital,"Sampla Road , Kharkodha",Haryana,Sonipat,131001
Kalan,Bps Government Medical College For Women Khanpur,Kalan,Haryana,Sonipat,131001
"Kath Mandi, Rohtak Road",Chauhan Hospital,"Kath Mandi, Rohtak Road",Haryana,Sonipat,131001
Atlas Road,Chhabra Nursing Home,Atlas Road,Haryana,Sonipat,131001
Gohana Road,City Hospital,Gohana Road,Haryana,Sonipat,131001
0,Civil Hospital,,Haryana,Sonipat,131001
Old D.C. Road,Dahiya Hospital,Old D.C. Road,Haryana,Sonipat,131001
"Thana Kalan Road, Kharkhoda",Dahiya Surgical Hospital,"Thana Kalan Road, Kharkhoda",Haryana,Sonipat,131001
Murthal Road,Darya Ram Hospital,Murthal Road,Haryana,Sonipat,131001
"Adarsh Nagar, Near Chintapurni Mandir",Dn Sharma Hospital Pvt Ltd,"Adarsh Nagar, Near Chintapurni Mandir",Haryana,Sonipat,131001
"Ward No. 3, Rohtak Road, Kharkhoda",Dr Sethis Amar Hospital,"Ward No. 3, Rohtak Road, Kharkhoda",Haryana,Sonipat,131001
846/15D Ashok Nagar,Dr. J.P. Singh,846/15D Ashok Nagar,Haryana,Sonipat,131001
Kharkhoda,Dr. Satbir Dahiya Surgical Hospital,Kharkhoda,Haryana,Sonipat,131001
"Hem Nagar, Delhi Road",Dua Nursing Home,"Hem Nagar, Delhi Road",Haryana,Sonipat,131001
0,Esi Dispancry,,Haryana,Sonipat,131001
"Near Bus Stand, Gohana",Gaj Raj Hospital,"Near Bus Stand , Gohana",Haryana,Sonipat,131001
0,General Hospital,,Haryana,Sonipat,131001
"Near Court,Jhajjar","General Hospital, Bahadurgarh","Near Court,Jhajjar",Haryana,Sonipat,131001
"Bawa Tarana Road, Khanna Colony",Girdhar Hospital,"Bawa Tarana Road, Khanna Colony",Haryana,Sonipat,131001
"Sikka Colony, Delhi Road",Gujaria Hospital,"Sikka Colony, Delhi Road",Haryana,Sonipat,131001
"Opp, Sector-14",Gupta Nursing Home,"Opp, Sector-14",Haryana,Sonipat,131001
Sarang Road,Handa Hospital and Heart Care Centre,Sarang Road,Haryana,Sonipat,131001
Opposite Bus Stand,Haryana Multispeciality Hospital - Sonipat,Opposite Bus Stand,Haryana,Sonipat,131001
Industrial Area,J.K Hindu Charitable Hospital,Industrial Area,Haryana,Sonipat,131001
Sector- 14,Jankidas Kapur Memorial Hospital,Sector- 14,Haryana,Sonipat,131001
Mandi,Janta Charitable Hospital,Mandi,Haryana,Sonipat,131001
"Near Mission Chowk, Tika Ram Road",Kalawati Hospital,"Near Mission Chowk, Tika Ram Road",Haryana,Sonipat,131001
"Gohana Road, Opp Malviya School, Near Nandi Chowk",Krishnawati Hospital,"Gohana Road, Opp Malviya School, Near Nandi Chowk",Haryana,Sonipat,131001
Industrial Area,Lala Jai Kishan Hindu Charitable Hospital,Industrial Area,Haryana,Sonipat,131001
"Mahavir Colony, Purkhas Adda",Malik Hospital,"Mahavir Colony, Purkhas Adda",Haryana,Sonipat,131001
"11-E, Khanna Colony, Opposite Petrol Pump, Bawa Tarana Road",Maniktalia E.N.T. Hospital,"11-E, Khanna Colony, Opposite Petrol Pump, Bawa Tarana Road",Haryana,Sonipat,131001
Delhi Road,Memorial Hospital,Delhi Road,Haryana,Sonipat,131001
"Opposite Civil Hospital, Baroda Road, Gohana",Metro Hospital and Trauma Centre - Gohana,"Opposite Civil Hospital, Baroda Road, Gohana",Haryana,Sonipat,131001
Model Town,Mittal Nursing Home,Model Town,Haryana,Sonipat,131001
"Devi Lal Chowk, Ganaur",Moolchand Jain Hospital,"Devi Lal Chowk, Ganaur",Haryana,Sonipat,131001
"Ambala Road, Near Bus Stand",Mukhi Hospital and Nursing Home Pvt. Ltd.,"Ambala Road, Near Bus Stand",Haryana,Sonipat,131001
Near Kalupur Chungi,Navjeevan Hospital,Near Kalupur Chungi,Haryana,Sonipat,131001
Hem Nagar Delhi Road,New Dua Nursing Home,Hem Nagar Delhi Road,Haryana,Sonipat,131001
Adarsh Nagar,Patil Nursing Home,Adarsh Nagar,Haryana,Sonipat,131001
1007 Sector 14,Raj Child Health Care and Immunization Centre,1007 Sector 14,Haryana,Sonipat,131001
"Bahalgarh,  Road, Bahalgarh, Near-Nh-1",Rama Hospital,"Bahalgarh,  Road , Bahalgarh, Near-Nh-1",Haryana,Sonipat,131001
"Road, Bahalgarh",Rama Multispeciality Hospital,"Road, Bahalgarh",Haryana,Sonipat,131001
"Ind. Area, Rohtak Road",Rawal Multi Speciality Hospital,"Ind. Area, Rohtak Road",Haryana,Sonipat,131001
"209-L, Model Town, Atlas Road, Near Bulbul Restaurant",S.M. Hospital Dental and Chest Care Centre,"209-L, Model Town, Atlas Road, Near Bulbul Restaurant",Haryana,Sonipat,131001
"OppositeD.C. Jain High School,Near Sec - 23,Malhana Road",Sarita Jain Hospital,"OppositeD.C. Jain High School,Near Sec - 23,Malhana Road",Haryana,Sonipat,131001
"1138, Sector -14 Main Road Between Sector-14-15",Satya-Om Eye and Maternity Hosptal,"1138, Sector -14 Main Road Between Sector-14-15",Haryana,Sonipat,131001
"112-113, T.P Scheme, Delhi Road,., Near Hero Honda Showroom",Saxena Multispeciality Hospital Pvt Ltd. / Saxena Nursing Home and Ultrasound Centre / Saxsena Clinic,"112-113, T.P Scheme, Delhi Road,Near Hero Honda Showroom",Haryana,Sonipat,131001
"Rathandhana Road, Rathandhana Road",Sehrawat Hospital,"Rathandhana Road , Rathandhana Road",Haryana,Sonipat,131001
"Rohtak Road,Kharkhoda",Sethi Amar Hospital Heart and Maternity Centre,"Rohtak Road, ,Kharkhoda",Haryana,Sonipat,131001
"D/8, Khanna Colony, Bawa Tarana Road",Sharma Eye Hospital,"D/8, Khanna Colony, Bawa Tarana Road",Haryana,Sonipat,131001
"Railway Road, Near Vishwakarma Mandir Ganaur",Sharma Hospital,"Railway Road, Near Vishwakarma Mandir Ganaur",Haryana,Sonipat,131001
Dev Nagar,Shiva Hospital / Shiva Krupa Eye Hospital and General Nursing Home,Dev Nagar,Haryana,Sonipat,131001
Pukhas Adda,Sikri Hospital,Pukhas Adda,Haryana,Sonipat,131001
"Khewra Road, Bahalgarh",Smt. Angoori Devi Ortho and General Hospital,"Khewra Road, Bahalgarh",Haryana,Sonipat,131001
"Opposite Railway Fly Over, Old D.C. Road",Vaishnav Nursing Home,"Opposite Railway Fly Over, Old D.C. Road",Haryana,Sonipat,131001
"145-46, T.P. Scheme No. 15, Delhi Road, Near Civil Hospital",Vardhman General Hospital,"145-46, T.P. Scheme No. 15, Delhi Road, Near Civil Hospital",Haryana,Sonipat,131001
"32 Mile Stone G. T. Karnal Road, Kundli",Parnami Ortho and Spine Hospital,"32 Mile Stone G. T. Karnal Road, Kundli",Haryana,Sonipat,131028
"Bus Stand,Rohtak Road,Gohana",Archana Hospital,"Bus Stand,Rohtak Road,Gohana",Haryana,Sonipat,131301
"Opp Civil Hospital,Baroda Road,Gohana",Dr. Guptas Children Hospital and General Nursing Hom,"Opp Civil Hospital,Baroda Road,Gohana",Haryana,Sonipat,131301
"Ashok Nagar,Gohana",General Hospital,"Ashok Nagar ,Gohana",Haryana,Sonipat,131301
"Bus Stand,Gohana",Gohana Hospital,"Bus Stand ,Gohana",Haryana,Sonipat,131301
Gohana,Sajni Nursing Home,Gohana,Haryana,Sonipat,131301
Old Bus Stand Gohana,Setiya Nursing Home,Old Bus Stand Gohana,Haryana,Sonipat,131301
"Patel Basti, Anaj Mandi Gohana",Shiv Sanjivani Nursing Home,"Patel Basti, Anaj Mandi Gohana",Haryana,Sonipat,131301
"K.Plaza, Atlas Road, Near State Bank of India","Eye-Q Super Speciality Eye Hospitals, Sonipat","K.Plaza, Atlas Road, Near State Bank of India",Haryana,Sonipat,131001
"112  113, T.P.Scheme, Delhi Road",Saxena Multispeciality\nHospital,"112  113, T.P.Scheme, Delhi Road",Haryana,Sonipat,131001
"Namaste Chowk, Ganaur",Mool Chand Jain Hospital,"Namaste Chowk, Ganaur",Haryana,Sonipat,131101
Sonepat,"BPS GovernmentMedical College, Khanpur Kalan",Sonepat,Haryana,Sonipat,131305
"Medical Enclave, Chandigarh Road, Tohana",Rajan Eye Hospital and Laser Centre,"Medical Enclave, Chandigarh Road, Tohana",Haryana,Fatehabad,125120
"Huda, Sector-18 Road, Jagadhri",Aarogyam Hospital,"Huda, Sector-18 Road, Jagadhri",Haryana,Yamunanagar,135001
"Road, Jain Nagar Behind Mahendra Hospital,Near Sapphire Hotel",Aastha Hospital,"Road , Jain Nagar , Behind Mahendra Hospital,Near Sapphire Hotel",Haryana,Yamunanagar,135001
Jagadhari,Christian Hospital,Jagadhari,Haryana,Yamunanagar,135001
0,Civil Hospital,,Haryana,Yamunanagar,135001
"Opp Gupta Petrol Pump, Near Dimple Cinema Ynr Road, Jagadhri",Deswal Hospital Childrens and Maternity Centre,"Opp Gupta Petrol Pump , Near Dimple Cinema Ynr Road, Jagadhri",Haryana,Yamunanagar,135001
"Puran Vihar, Jagadhri",Garg Ent Hospital,"Puran Vihar, Jagadhri",Haryana,Yamunanagar,135001
"Sawanpuri, Road,Jagadhri",Goel Hospital,"Sawanpuri , Road,Jagadhri",Haryana,Yamunanagar,135001
"Near District Court, Byepass Road, Sector-17,Huda, Jagadhri",Jain Hospital,"Near District Court, Byepass Road, Sector-17,Huda, Jagadhri",Haryana,Yamunanagar,135001
"Brain, Spine & Taruma Centre,Sector-17 Huda ,Jagadhari",Jindal Hospital,"Brain , Spine & Taruma Centre,Sector-17 , Huda ,Jagadhari",Haryana,Yamunanagar,135001
"Chhachhrauli Road, Near Buria Chowk, Jagdhari",Kapoor General and Maternity Hospital,"Chhachhrauli Road, Near Buria Chowk, Jagdhari",Haryana,Yamunanagar,135001
"Near Civil Hospital,Jagadhri",Mittal Hospital,"Near Civil Hospital,Jagadhri",Haryana,Yamunanagar,135001
"Opp Sapphire Hotel, RoadSawanpuri ,Jagadhari",Paras Hospital,"Opp Sapphire Hotel , Road ,Sawanpuri ,Jagadhari",Haryana,Yamunanagar,135001
"Near Dimple Cinema,  Road, Jagadhri",S.K. Hospital - Jagadhri,"Near Dimple Cinema,  Road, Jagadhri",Haryana,Yamunanagar,135001
"Opposite Saraswati School, Chhachhrauli Poanta Road, Jagadhri. 39,Shiv Puri Colony, Jagadhri",S.P.Infertility and Surgical Centre Pvt. Ltd. / S.P. Hospital,"Opposite Saraswati School, Chhachhrauli Poanta Road, Jagadhri. 39,Shiv Puri Colony, Jagadhri",Haryana,Yamunanagar,135001
"Bilaspur Bye Pass Road,Jagadhri",Sabbarwal Hospital,"Bilaspur Bye Pass Road ,Jagadhri",Haryana,Yamunanagar,135001
"1, Jain Nagar, Opp Sapphire Hotel Jagadhri Road",Aashirwad Hospital,"1, Jain Nagar , Opp Sapphire Hotel Jagadhri , Road",Haryana,Yamunanagar,135002
Main Jagadhri Road,Aggarwal Hospital,Main Jagadhri Road,Haryana,Yamunanagar,135002
"Ram Nagar,Near Bhai Kanahya Sahib Chowk",Arvinde Eye Hospital,"Ram Nagar ,Near Bhai Kanahya Sahib Chowk",Haryana,Yamunanagar,135002
"Gobindpuri Road,Near J.K Residency",Bharti Psychiatric Hospital,"Gobindpuri Road,Near J.K Residency",Haryana,Yamunanagar,135002
"409-L, Sarni Chowk",Chadha Hospital,"409-L, Sarni Chowk",Haryana,Yamunanagar,135002
Jagadhri- Bye Pass Road Sector-17,City Hospital,Jagadhri- Bye Pass Road Sector-17,Haryana,Yamunanagar,135002
Behind Telephone Exchange,Dayasheel Hospital,Behind Telephone Exchange,Haryana,Yamunanagar,135002
"Near Madhu Hotel, Gobindpuri Road, Circular Road",Dr R K Gupta Hospital,"Near Madhu Hotel, Gobindpuri Road, Circular Road",Haryana,Yamunanagar,135002
"Jabbiwala Gurudwara,Near Kanhiya Sahib Chowk,Model Town",Dr Sandeep Kalra Hospital,"Jabbiwala Gurudwara ,Near Kanhiya Sahib Chowk,Model Town",Haryana,Yamunanagar,135002
"Work Shop Road, Near Bus Stand, Opp Petrol Pump",Dr. Puran Chand Memorial Dental and Eye Hospital,"Work Shop Road, Near Bus Stand, Opp Petrol Pump",Haryana,Yamunanagar,135002
"Near Hotel Saffire, Gupta Petrol Pump, Railway Station",Eye Q Super Speciality Eye Hospitals,"Near Hotel Saffire, Gupta Petrol Pump, Railway Station",Haryana,Yamunanagar,135002
"Workshop Road, Near I.T.I",Friends Integrated Hospital,"Workshop Road, Near I.T.I",Haryana,Yamunanagar,135002
Bypass Road,Gaba Hospital,Bypass Road,Haryana,Yamunanagar,135002
"399, Model Colony  399 , Model Colony",Gautam Hospital,"399 , Model Colony ,  399 , Model Colony",Haryana,Yamunanagar,135002
Goyal Eye Care Centre Opposite Dimple Cinema Jagadhari,Goyal Eye Care,Goyal Eye Care Centre Opposite Dimple Cinema Jagadhari,Haryana,Yamunanagar,135002
"169,Sarojini Colony,Phase-1,Near Bus Stand",Gulati Hospital,"169,Sarojini Colony,Phase-1,Near Bus Stand",Haryana,Yamunanagar,135002
"Near Luxmi Theater, Jagadhi Road",Jp Hospital,"Near Luxmi Theater , Jagadhi Road",Haryana,Yamunanagar,135002
92 - B/R Rickshaw Chowk Model Town,Kalra Eye and Maternity Hospital,92 - B/R Rickshaw Chowk Model Town,Haryana,Yamunanagar,135002
Cmc Complex Jagadhri Puran Vihar,Kohli Hospital,Cmc Complex Jagadhri Puran Vihar,Haryana,Yamunanagar,135002
Kanhaiya Sahib Chowk Bye Pass Road,Life Line Care Multi Speciality Hospital,Kanhaiya Sahib Chowk Bye Pass Road,Haryana,Yamunanagar,135002
0,M L General Hospital,,Haryana,Yamunanagar,135002
Madan Chowk Madel Town,Madan Memorial Children Hospital,Madan Chowk Madel Town,Haryana,Yamunanagar,135002
Opposite Santpura Gurudwara,Mago Maternity and Children Hospital,Opposite Santpura Gurudwara,Haryana,Yamunanagar,135002
"Model Town,",Mahairshi Dayanand Maternity and General Hospital,"Model Town,",Haryana,Yamunanagar,135002
"Mela Singh Chowk, Model Town",Mahajan Hospital,"Mela Singh Chowk , Model Town",Haryana,Yamunanagar,135002
"1, Sarojani Colony, Phase - 1",Masih Hospital,"1, Sarojani Colony, Phase - 1",Haryana,Yamunanagar,135002
